id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
A0A023H2U3,4.477336814478207,0.01038275862068966,-0.0551783908045977,-0.08466804597701152,2.6229932883688507,2.3933035095129496,1.8826162601074097,2.638355122982489,0.5442157928808398,0.4990221599246691,0.6743931010050421,0.47059872957470744,0.29831829320669034,0.24271087799851335,0.9576548530306244,1.2913706394869575
A0A023H2U4,4.927253685157205,0.011691824817518263,-0.004589051094890514,-0.004429781021897778,2.8159359684114365,2.4575385684446194,2.0903560153352148,2.6254698401336984,0.5667793681738982,0.5283151638833138,0.6321742128743818,0.4603845320276352,0.29290829590815637,0.2540601091584705,0.9725903667064212,1.2956372028181813
A0A023H3Q7,4.276666119016055,-0.024697183098591546,-0.01660140845070423,-0.016372112676056358,2.5398299618438527,2.2548461479446105,1.9951162338997201,2.540780266967323,0.5943718804388689,0.5416903804086104,0.594385059970671,0.43836250160180723,0.3105490992167013,0.2653741060291505,0.964233550531481,1.2827573763098181
A0A0F6PW20,4.919980925828125,-0.05281661764705886,0.014796911764705885,0.06946558823529415,3.439148379335655,1.9709612690199039,1.1727294151776262,2.7124299688111746,0.5392187926355513,0.22420288338024705,0.8117734664009669,0.8367730354241288,0.12269113611712625,0.047943234758685546,0.9480001347322062,1.3142481251396954
A0A0F6PWH4,5.087596335232384,0.03694757763975157,-0.027791304347826104,0.024748819875776328,3.1264506043209734,2.8000818141313455,2.2139285400053943,2.4370283692523316,0.6247288771200855,0.5116880041848347,0.5898213428366404,0.6791138804109506,0.20208925184352872,0.1250468656267965,0.9085659467802091,1.5546868420334414
A0A0F6PWW2,2.833213344056216,0.05939625,-0.012766249999999996,0.02043124999999999,2.460137204895086,1.8419793363939885,0.6628734521772798,2.800096269243719,0.5944156753442216,0.18641552132492847,0.7822526818836917,1.0194967021719261,0.03130254613061422,0.015867409058612513,0.8807085396158274,1.5465747550583653
A0A0F6PX93,4.584967478670572,0.02235216494845356,-0.008902061855670102,0.01970268041237112,2.8108933217353105,2.8173227603274595,1.1782578831810206,2.2557142364321057,0.7397085082310303,0.31434679710251895,0.5949936251776248,0.7080698038437989,0.2069348175556942,0.09541204112838123,0.9294619775963981,1.4727374314216164
A0A0K1TZA8,4.927253685157205,0.015295182481751815,0.08989766423357662,0.05212496350364963,2.9831677089078785,1.9446108776297848,2.6888130658379468,2.3991640702697565,0.5046448257041638,0.6649661730216924,0.5505938508800281,0.6016479111338902,0.22302915516633007,0.18267587201097643,0.9314208625901144,1.4012031471459914
A0A2P1LGK0,5.017279836814924,0.00709000000000001,-0.061344666666666665,-0.003299066666666672,2.9318510290762685,2.534577676386633,1.3578175121966423,2.8008153003678062,0.6416746642522171,0.29499576118402104,0.7079767836167117,0.7947103313497925,0.12748210140944138,0.0845189734458974,0.9318218602300244,1.41776320894026
A0A2Z4YYV6,5.017279836814924,-0.0011777333333333178,-0.01767533333333332,0.02141586666666667,2.9359817899384706,2.1769069312662244,1.2621643158750018,2.936436463624277,0.5434754546672249,0.32066273600769607,0.7757640362315799,0.8035545502169765,0.12279839700936805,0.08035845900650834,0.929652159582359,1.4283625942612528
A0A343WAV4,4.7535901911063645,-0.03935843478260869,-0.009250434782608685,0.039333565217391245,3.263205872161689,2.068261738057112,0.9452046063884567,2.592548701282432,0.5832701095628104,0.18427649822339892,0.7910993309901792,0.6887605167096259,0.30447260239415597,0.015538809123805055,0.9611655220528108,1.3159112439455238
A0A343WAV5,4.59511985013459,-0.03909551020408163,-0.021925510204081622,0.005789795918367326,2.8880647116161677,2.325379667535561,1.3041231577841121,2.9963108164443883,0.5846337235731646,0.2922283056961105,0.7568394985800867,0.7837606809574761,0.17863003591114066,0.04791855796889654,0.9234614399199296,1.4557288007927758
A0A343WAV6,4.1588830833596715,-0.2952822222222223,0.02223904761904763,0.19920730158730163,3.457773869657195,2.284020117761863,0.7168034086914019,2.309681803385417,0.6928331697469956,0.14668635225115084,0.7060207595825932,0.9984647583362805,0.012672319569739554,0.0049919532771512416,0.8966128460144607,1.4744285635657557
A0A3G3A7D8,5.0369526024136295,0.03534810457516338,-0.07161660130718954,0.05272915032679734,3.2935362194988445,2.520630584019527,1.3438222642487707,2.1973591333158913,0.7180316703884189,0.3539411767609458,0.5992963905383495,0.5780697229506861,0.30309297764648246,0.12541624527509815,0.9581001757853932,1.3288355076777913
A0A514YLW7,4.04305126783455,0.03159499999999997,0.07170357142857144,-0.04278785714285715,2.659676936834197,2.671823532055653,1.6757110221461313,2.6105821738180133,0.6781696072790876,0.414904087469984,0.6065810596809201,0.6151924073321575,0.33590427555161684,0.06708512953481109,0.9239898786673814,1.4226970342068248
A0A514YLZ8,4.584967478670572,0.016987422680412378,-0.02380886597938145,0.034495463917525754,2.7211480605847203,2.225632747254029,1.3621866936261564,2.911726882859633,0.6139409266139308,0.3723172971196953,0.6960290000380103,0.7476450049118026,0.13849103347794034,0.12428062326434937,0.9318425236999822,1.5213856829419448
A0A7L8YNP6,4.6443908991413725,-0.005126601941747567,0.07627689320388346,-0.12588233009708746,3.2760831915759017,1.434876190852971,2.489450713786362,2.9903559456420368,0.36703775782102904,0.541520023452739,0.7563328292051437,0.7807822889077529,0.18224438743556726,0.04677724366892932,0.8728483750373399,1.5026601418482597
